iter,wall_time_s,mass_kg,global_max_fi,global_mean_fi,n_mystran_fail,zone0_max_fi,zone1_max_fi,zone2_max_fi,zone3_max_fi,zone4_max_fi,zone5_max_fi,zone6_max_fi,zone7_max_fi,zone0_thickness_scale,zone1_thickness_scale,zone2_thickness_scale,zone3_thickness_scale,zone4_thickness_scale,zone5_thickness_scale,zone6_thickness_scale,zone7_thickness_scale,zone0_ply_0,zone0_ply_45,zone0_ply_-45,zone0_ply_90,zone1_ply_0,zone1_ply_45,zone1_ply_-45,zone1_ply_90,zone2_ply_0,zone2_ply_45,zone2_ply_-45,zone2_ply_90,zone3_ply_0,zone3_ply_45,zone3_ply_-45,zone3_ply_90,zone4_ply_0,zone4_ply_45,zone4_ply_-45,zone4_ply_90,zone5_ply_0,zone5_ply_45,zone5_ply_-45,zone5_ply_90,zone6_ply_0,zone6_ply_45,zone6_ply_-45,zone6_ply_90,zone7_ply_0,zone7_ply_45,zone7_ply_-45,zone7_ply_90,zone0_total_plies,zone1_total_plies,zone2_total_plies,zone3_total_plies,zone4_total_plies,zone5_total_plies,zone6_total_plies,zone7_total_plies
0,1.542865514755249,61.12837951286775,2.9084970873085894,0.4304421105537427,0,1.7592285283789797,1.412367569892275,1.2270203706792062,1.1008259197555672,0.6944691826480656,0.4340565604798157,0.9880920465324281,2.9084970873085894,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
1,1.6153042316436768,71.17509525834237,1.736982786832574,0.3287753463930956,0,1.3562073191496657,1.0294345931916162,0.6760342181694946,0.5041227227827686,0.6237050372731114,0.5325927940696249,0.7397048089923108,1.736982786832574,1.0,1.0,1.0,1.0,0.934043239155041,0.7712853502998849,1.0,1.0,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
2,1.5345170497894287,76.35155105682202,1.1430146840277369,0.3019534376984728,0,0.7606869785193072,0.7031742458779788,0.6162703925058984,0.6505910732625413,0.8575984851925494,1.1430146840277369,0.766514456638782,0.7483716150502349,1.3476295744685411,1.1433966207447601,0.9225213863559341,0.8150767017392304,0.8311262903849533,0.6423808124881831,0.9623155056201942,1.5856142417703587,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
3,1.572270154953003,73.71775584442426,0.9521585283752355,0.3097682800438353,0,0.769273168627437,0.7434057945196362,0.7750595082941796,0.7437298369637951,0.7400253575840714,0.9521585283752355,0.8253166787813082,0.8397121742336978,1.3145174554628545,1.0742027207046463,0.8165873287183777,0.7389643672295015,0.861046049966126,0.7800970946263799,0.9421757196260583,1.53445005273539,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
4,1.507176160812378,73.0185991267153,0.8930821874946562,0.31171560348586264,0,0.7686091906590619,0.7528013767445055,0.8191579847899411,0.7955294869578843,0.7682129755552692,0.8930821874946562,0.8360668302652511,0.7939566996437752,1.2892731078439186,1.0362066897651934,0.803858522781516,0.7129758388407827,0.8287704693721472,0.8542836108189716,0.9570836946568836,1.572535270139849,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
5,1.5156323909759521,72.67742508827806,0.8432344203034512,0.3109918031771135,0,0.7805746439725579,0.7723632796662356,0.8152683751603251,0.7953983821672925,0.7675094459203478,0.8432344203034512,0.8222646847118671,0.7976819619215295,1.2639785288959642,1.0056394840370368,0.8134837161269616,0.7109837339743759,0.81230537739152,0.9039827278413861,0.9786580541349018,1.5665957057909663,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
6,1.5539777278900146,72.4269881572766,0.8194457619264618,0.3114676028105138,0,0.7891547254981628,0.784805193683438,0.8068079645934163,0.7974714711592804,0.7789643890388013,0.8194457619264618,0.8133198277710512,0.7973282071363732,1.248632758311685,0.9882691233014601,0.8212465752298627,0.7089389368312374,0.7958102200206878,0.9284097085929828,0.9922764997699285,1.5643260629787215,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
7,1.6772782802581787,72.25670298557573,0.8088130114772412,0.3121043166869124,0,0.7945342289930283,0.7923321806880099,0.8060162073023102,0.7993740467280909,0.7883632507347988,0.8088130114772412,0.8074500408134878,0.7981860838773265,1.2401691551767622,0.9788837746032075,0.824740961234006,0.7078185789886831,0.7853474986536245,0.9396932299451796,1.0005370948188017,1.561713840971564,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
8,1.5286507606506348,72.18438675943281,0.80401218025653,0.31233550849092384,0,0.7974383917663852,0.7963784575460956,0.80401218025653,0.799263858196433,0.7938649702190468,0.8034702952744506,0.8037412674737401,0.798799331089785,1.235932604794196,0.9741925846587725,0.8278420941049374,0.7075416656415355,0.7796356911986962,0.94486918445805,1.0051958711886821,1.5599433297746013,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
9,1.600041389465332,72.15027115901579,0.8028167130353601,0.31247869874130874,0,0.7989818489958567,0.7985154590251663,0.8028167130353601,0.799365909885716,0.7972505758675872,0.801076349928029,0.8017218598825339,0.7993382484258241,1.2339538703338,0.9719875347815096,0.82991800142087,0.7072161337678828,0.7766462610838224,0.9469185438741741,1.0075463128246922,1.5587727201135027,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
10,1.5379045009613037,72.13996214997485,0.8019596708603578,0.3125219185670533,0,0.7996958352113223,0.7995557229688821,0.8019596708603578,0.7993880702631152,0.7989980715728213,0.8001097745989038,0.8006868638436295,0.7997468869457767,1.233168650726208,0.9710856877050028,0.8313790269539214,0.7069358595434551,0.7753116798509649,0.9475555536907666,1.008630596309597,1.5581280199251792,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
11,1.5310163497924805,72.14061341779235,0.8014116082315036,0.31251943716714053,0,0.8000438236846359,0.7998771268108653,0.8014116082315036,0.7994660096060062,0.7999268903059572,0.7998012122560122,0.800187474917384,0.7998143171364457,1.2329342216749255,0.9708160432885686,0.8323972952370678,0.7066654876218771,0.7748261755934859,0.9476205646475448,1.0090635912397117,1.5578815308364329,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
12,1.6064996719360352,72.14489906755314,0.8010026956524505,0.31248994086904425,0,0.8000811061342797,0.8000926900508925,0.8010026956524505,0.7994965179335112,0.8001972130810137,0.7997701970853751,0.8000090729777279,0.7999313826563874,1.2329679915002425,0.9707414887490049,0.8331316820332165,0.706429642258029,0.7747907710280897,0.9475028300511681,1.0091818250605882,1.5577007358966053,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
13,1.5631465911865234,72.14964604062801,0.8007727502798881,0.31246338550129354,0,0.8000844903789079,0.800180666474543,0.8007727502798881,0.7995892449291239,0.8003045889728376,0.7997423948339822,0.7999316536005665,0.7999935745273039,1.233030492292418,0.970797725047752,0.8336537929804,0.7062073455979583,0.7748862703250244,0.9473667432311924,1.0091875477382268,1.5576339325924549,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
14,1.617194652557373,72.15443411757752,0.8006154790193488,0.3124304624361762,0,0.80007617262284,0.8000747551522758,0.8006154790193488,0.7996750939503819,0.8003033724415243,0.7998004370780775,0.7998630093809541,0.7999679672162744,1.2330956043008547,0.9709073441743012,0.8340564218565595,0.7060260466927744,0.7750337839582396,0.9472142141267113,1.0091444387787012,1.5576276772585145,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
15,1.5842247009277344,72.15757719293981,0.8004887249807463,0.31241863332131126,0,0.800122388489199,0.8001279324022272,0.8004887249807463,0.7997197762723132,0.8002604155691235,0.7999154101403584,0.7999011370104057,0.7999865151117662,1.2331543093798496,0.9709527068782758,0.8343772619994382,0.7058826766091754,0.7751807363903042,0.9470960711040501,1.0090580367028419,1.5575964927894452,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
16,1.6209115982055664,72.16159463849115,0.8003591846596336,0.31239097998915766,0,0.8000528852815347,0.8001300190235087,0.8003591846596336,0.799766677674841,0.8001996657170991,0.7999092409239187,0.799896360734146,0.8000824138801539,1.233248636812896,0.9710303420734258,0.8346321251315042,0.7057590484373323,0.7753069045982045,0.947045999401724,1.0089956876439778,1.5575833652803086,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
17,1.512772560119629,72.16458564521463,0.8003082011824882,0.31237151802024876,0,0.8000739881352721,0.7999724583078567,0.8003082011824882,0.7998277558918122,0.800167839790101,0.799917811095802,0.799945678830066,0.8000050631866242,1.2332893997512462,0.9711092498339717,0.8348194920413696,0.7056561300984676,0.7754036559788786,0.9469922787642787,1.0089303304112796,1.5576635943358061,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
18,1.5929367542266846,72.16629433089378,0.8002580195577024,0.31236618754061796,0,0.8000158329194836,0.8000779768081026,0.8002580195577024,0.7998622701693354,0.8001479413404546,0.7999698041310784,0.7999328916219517,0.8000024496795989,1.2333464302405828,0.971092533588974,0.8349802997630016,0.7055801644042076,0.775484995720668,0.9469436336032315,1.0088960764888233,1.5576685235492285,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
19,1.609710454940796,72.16810369390005,0.8023717467166318,0.31238022372725327,0,0.8000436404064896,0.8000213244033756,0.8006271226113035,0.8023717467166318,0.7991065109338912,0.7999566202919476,0.7999712391690808,0.8000288385148628,1.233358634912286,0.9711398602740623,0.8351149505427735,0.7055194272563552,0.7755566996517739,0.9469257624870837,1.008853760626753,1.5576709084172309,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
20,1.6035606861114502,72.17982357626293,0.8000981929248234,0.3122521464505389,0,0.8000955278165572,0.8000981929248234,0.7986390997352133,0.7980282459640219,0.8000408661872326,0.7999092541828311,0.7998530288831742,0.799901058983784,1.2333922750823954,0.9711528033853839,0.8354422752106004,0.7065652481220521,0.77512360500722,0.9469000891351311,1.008835625956483,1.5576989839895083,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
21,1.533888816833496,72.16336803863767,0.800687527850924,0.31240942472758215,0,0.8000162213261778,0.7999870237793644,0.8003605366806225,0.7999047433027836,0.800687527850924,0.8000398389619348,0.8000529498411467,0.8000262226072747,1.2334659146267684,0.9712124035942682,0.8347316792021328,0.7056945150722606,0.7751434027237017,0.9468463846211524,1.0087429573948328,1.5576026587892369,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
22,1.6052324771881104,72.16803679070654,0.8002484528264254,0.3123613833895758,0,0.7999287610237997,0.7999719603762955,0.8002484528264254,0.7998058575559579,0.8001643204097652,0.8000278014264052,0.8000325441717997,0.8000387652294928,1.2334784199098499,0.9712045269277475,0.8349197738201516,0.7056525012417921,0.7754764856473472,0.9468699604818244,1.0087763403819276,1.5576281865409942,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
23,1.6588513851165771,72.16868109540282,0.8001985956610298,0.3123533904052812,0,0.8000014775814502,0.7999705049855202,0.8001985956610298,0.7998462975751603,0.8001098252167194,0.800024974529928,0.8000292682152005,0.8000387652294928,1.2334235000724751,0.9711875067968255,0.8350494226811792,0.7055668780535199,0.7755561272810251,0.9468864131915253,1.0087968590010081,1.5576659251748164,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
24,1.6339316368103027,72.16975709109009,0.8023664765970971,0.31237903701984926,0,0.7999897758542848,0.8000420759177238,0.800575939371484,0.8023664765970971,0.7991594331072909,0.8000413626537539,0.8000336895027952,0.7999561905984929,1.2334246391247776,0.9711696035533408,0.8351530709262354,0.7054990984659928,0.7756093620433729,0.9469011932184407,1.0088153125532349,1.5577036647229803,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
25,1.6139307022094727,72.18111155047092,0.8000394533880713,0.3122361505522652,0,0.8000394533880713,0.8000309959826079,0.7986672936391194,0.7980602929807779,0.7999290769143492,0.7998023428170951,0.7998252599684286,0.7999867698971658,1.2334167574290031,0.9711951428360502,0.8354536943854617,0.7065425654071134,0.7752018923237424,0.9469256721848119,1.0088365541071673,1.5576610134321822,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
26,1.5861895084381104,72.16341453589784,0.800621284326378,0.31241285552233805,0,0.8000307454472974,0.8000053684504478,0.8003680440670289,0.7999055576666065,0.800621284326378,0.8001217316595155,0.8001224863227285,0.8000560064260234,1.2334471714727433,0.9712139573033977,0.8347578103525063,0.7056860119236762,0.7751675300048637,0.9468086930218216,1.0087263765250953,1.5576481334225643,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
27,1.5563876628875732,72.16893943287506,0.8001716495393772,0.3123559756698807,0,0.7999845186193026,0.7999495764012822,0.8001716495393772,0.7997628470595941,0.80015496563407,0.8000524498981834,0.8000457271345615,0.7999501826767476,1.2334708732758712,0.9712172159996503,0.8349498276396976,0.7056443577776704,0.775468529652807,0.9468807283927247,1.0088035985154078,1.5577026573631612,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
28,1.6076483726501465,72.1690058948738,0.8023768622330346,0.3123754240559463,0,0.799978594461573,0.7999432408123252,0.8006697418087371,0.8023768622330346,0.7990962511366366,0.7999421011949126,0.7999591768107318,0.8000241365342478,1.233458938380766,0.9711866083326706,0.8350394018605211,0.7055397667562155,0.7755436365105564,0.9469117682663472,1.0088324295765922,1.557654157002653,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
29,1.64961838722229,72.17955486854015,0.8001233217748032,0.3122505238151614,0,0.8000420151955585,0.8001233217748032,0.7986144765104,0.7979956682801836,0.8000360487822366,0.7999126844423816,0.7999118048560558,0.7999227447467835,1.2334424365978263,0.9711521559808145,0.8353889398601265,0.7065878735221572,0.7751055760855656,0.946877502603906,1.0088066897283345,1.5576776547357194,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
30,1.605860948562622,72.1627852738304,0.8007207292820371,0.3124170380550225,0,0.7999524571335697,0.7999987540259472,0.8004262570777615,0.7999405633172806,0.8007207292820371,0.800103049168638,0.8000531018435426,0.800025697515849,1.2334748261760662,0.971227008610489,0.8346655329856714,0.705702725717321,0.7751230395931421,0.9468258293931959,1.0087510823213268,1.5576024429971904,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
31,1.547609806060791,72.16776264094179,0.8002080239756539,0.31236159276274533,0,0.799993805248856,0.7999639914237401,0.8002080239756539,0.7997506416597892,0.8001382019557021,0.8000345058659329,0.8000380298732387,0.8000426849681873,1.2334381743454998,0.9712262522832065,0.8348878967925454,0.7056765103241943,0.7754721982630272,0.9468868104022983,1.0087845614101685,1.557627459568106,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
32,1.5300729274749756,72.16852544707497,0.8002697565218317,0.3123602806072451,0,0.7999947526498473,0.79996253603856,0.8002697565218317,0.7998868241018373,0.8001087598226423,0.8000352036004359,0.800040391553601,0.8000432100626521,1.2334333988189112,0.9712043944865996,0.8349964447297429,0.7055665313721066,0.7755391806220224,0.9469072311206316,1.0088085388782908,1.5576690141172056,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,4,4,5,5
