iter,wall_time_s,mass_kg,global_max_fi,global_mean_fi,n_mystran_fail,zone0_max_fi,zone1_max_fi,zone2_max_fi,zone3_max_fi,zone4_max_fi,zone0_thickness_scale,zone1_thickness_scale,zone2_thickness_scale,zone3_thickness_scale,zone4_thickness_scale,zone0_ply_0,zone0_ply_45,zone0_ply_-45,zone0_ply_90,zone1_ply_0,zone1_ply_45,zone1_ply_-45,zone1_ply_90,zone2_ply_0,zone2_ply_45,zone2_ply_-45,zone2_ply_90,zone3_ply_0,zone3_ply_45,zone3_ply_-45,zone3_ply_90,zone4_ply_0,zone4_ply_45,zone4_ply_-45,zone4_ply_90,zone0_total_plies,zone1_total_plies,zone2_total_plies,zone3_total_plies,zone4_total_plies
0,0.37831592559814453,36.95834879999999,4.17113552751436,1.0820109892278282,0,1.3552395733259104,2.6430501460642093,3.5603623985929707,4.17113552751436,3.9489886793738567,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4
1,0.4114348888397217,46.197935999999956,1.5821098843955272,0.5067029716011315,0,0.8504706540353676,1.0739584756058067,1.358634797501175,1.5821098843955272,1.507851541273127,1.0,1.0,1.0,1.0,1.0,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
2,0.3885231018066406,59.90154517193546,0.7494267150283459,0.29045139675111914,0,0.7494267150283459,0.5973228401587629,0.6497439637682445,0.5725870342662797,0.527619733366018,1.0315441587721046,1.171224047253629,1.3491467484382342,1.4888186777472043,1.4424072132957044,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
3,0.3966944217681885,52.834841423333906,0.8822614709810563,0.3717195482328895,0,0.8148917587590795,0.8317609933657533,0.8822614709810563,0.8686387848037596,0.8248851823902025,0.9989387983330879,1.0228613201066763,1.2224483467411775,1.2772082584057993,1.19685517495054,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
4,0.41854000091552734,54.3673045067223,0.8069833262783016,0.3500754061421776,0,0.7991924489892456,0.7784110491074239,0.8069833262783016,0.8034593708316481,0.7615389724291207,1.008236270583001,1.0431657523579223,1.2852985962419834,1.331999522654737,1.2154701495276035,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
5,0.3807857036590576,54.041033041298945,0.8270862669034807,0.3546736308741701,0,0.8016367147672849,0.798610473902838,0.8175874785573042,0.8270862669034807,0.7895758499897954,1.007727394195883,1.029090218482627,1.2909083834061088,1.3348794478400123,1.1862525051947523,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
6,0.38138437271118164,54.310797024632905,0.8145563804238625,0.3514119661786687,0,0.799426092090181,0.7953909100360375,0.8076524101063278,0.8145563804238625,0.7957080355619324,1.0087582456380568,1.0281965011608047,1.3050982731014833,1.3574775109701156,1.1785239589046703,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
7,0.3952047824859619,54.42265919878635,0.8068802985495025,0.350323446573768,0,0.7991263136684921,0.7977678769382008,0.8058477706893464,0.8068802985495025,0.7974355717697318,1.00839641167789,1.0252345948017536,1.3113402401107537,1.3698274853866899,1.175362594579027,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
8,0.4318392276763916,54.4856595211314,0.8036961300583348,0.349714119452866,0,0.7993268826236394,0.7984674538719163,0.8036961300583348,0.8036191604623472,0.798755574596404,1.0078457728268748,1.0238043136874966,1.3161330007481786,1.3757179991746742,1.1734787614425646,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
9,0.3868288993835449,54.52109224265151,0.8023576155816408,0.34939082321391113,0,0.799593741227979,0.7990096278632469,0.8023576155816408,0.8018552068293601,0.7993664161854372,1.0074217737628866,1.0228236716019607,1.3191733749636987,1.3788298392933944,1.17256606970424,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
10,0.40204811096191406,54.54132087142698,0.8014485599607296,0.34919556128065005,0,0.7997121929381522,0.7993044110291374,0.8014485599607296,0.8009595100006164,0.7996687654521063,1.007165977554939,1.022190561561232,1.3211171897785112,1.3804285983773836,1.1721017454021962,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
11,0.37242722511291504,54.551999050561236,0.8010314963408214,0.34912602191853714,0,0.799812203579723,0.7996425609730552,0.8010314963408214,0.8006170111987734,0.7999487354259676,1.0069848091294433,1.0217461712607683,1.322313263193852,1.3812564327806836,1.1718590950323688,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
12,0.39067816734313965,54.56124913059603,0.8006104811956458,0.34903979408333824,0,0.7999147914905981,0.7997221824052716,0.8006104811956458,0.8001885866906747,0.7998126674299652,1.0068666165404259,1.0215179137874932,1.3231657390016043,1.3817890894603109,1.1718215482465357,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
13,0.3806488513946533,54.564016648196066,0.8003541555420314,0.3490112715984408,0,0.7999775010097747,0.7997880464612115,0.8003541555420314,0.8001466353315704,0.7999932097525019,1.0068129955381995,1.0213405415063805,1.323670593878094,1.3819519563550557,1.1716843480326262,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
14,0.41443467140197754,54.566467120794115,0.8002703269213163,0.3489965047070315,0,0.7999624863959496,0.79991998144772,0.8002703269213163,0.800090728289571,0.7999775579558321,1.0067988378658586,1.0212052435425802,1.3239635846759976,1.3820786082196397,1.1716793755159307,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
15,0.4385497570037842,54.568416198609306,0.8001700574854016,0.34897673291293463,0,0.799951749196903,0.7999613056078131,0.8001700574854016,0.8000327434368221,0.7999598730694925,1.0067752324577572,1.0211541714393497,1.3241872740508605,1.38215697923725,1.1716629412157458,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
16,0.37198853492736816,54.56919774430628,0.8000580154171879,0.34897086405092004,0,0.8000295702995123,0.7999171336339661,0.8000544862698347,0.8000407895305078,0.8000580154171879,1.006744871386817,1.021129475851854,1.3243280165246263,1.3821852645933297,1.171633556692358,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
17,0.4026834964752197,54.57001580378685,0.8001297055658602,0.3489656065909251,0,0.7999430427860611,0.8000275127342362,0.8001297055658602,0.7999726903808154,0.799940170887634,1.0067634774789291,1.0210765900462828,1.3243731150831626,1.3822205012733406,1.1716760396983472,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
18,0.39239001274108887,54.57021607459001,0.8000601078733518,0.3489673448905273,0,0.8000251331415386,0.7999848343936532,0.8000129652354789,0.8000449361072153,0.8000601078733518,1.0067276384521961,1.0210941479268183,1.3244804766858511,1.3821969088261412,1.17163222698745,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
19,0.3921205997467041,54.571137283312616,0.8000188565090335,0.34895896363148377,0,0.8000188565090335,0.7999824413159101,0.8000093230388573,0.7999768941445753,0.7999403368670097,1.0067434523448386,1.0210844694818866,1.324491209311643,1.3822357279189457,1.1716762421883966,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
20,0.38724660873413086,54.570626561871535,0.8000601078733518,0.3489673448905273,0,0.8000251331415386,0.7999848343936532,0.8000129652354789,0.8000449361072153,0.8000601078733518,1.0067553171367158,1.0210732639196185,1.3244989269885246,1.382215766832138,1.1716325510162346,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
21,0.3937816619873047,54.57154778281725,0.8000110263917658,0.3489407940552196,0,0.7999346478899813,0.7999780438120861,0.8000110263917658,0.7999145694581707,0.7999224114235183,1.006771131464141,1.021063585672636,1.3245096597638244,1.3822545864545708,1.1716765662293542,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
22,0.3801865577697754,54.569915816514644,0.8000601078733518,0.3489673448905273,0,0.8000251331415386,0.7999848343936532,0.8000129652354789,0.8000449361072153,0.8000601078733518,1.0067300098280492,1.0210495740076617,1.324518787615328,1.382180782230654,1.17161974828131,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
23,0.39623379707336426,54.5708370238338,0.8000188565090335,0.34895896363148377,0,0.8000188565090335,0.7999824413159101,0.8000093230388573,0.7999768941445753,0.7999403368670097,1.0067458237579416,1.0210398959852243,1.3245295205515637,1.382219600870542,1.1716637630134639,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
24,0.3809471130371094,54.57032631568778,0.8000976743484931,0.3489704770291917,0,0.799942939225634,0.8000976743484931,0.8000899546811951,0.8000468214221189,0.8000600874441534,1.0067576885777667,1.0210286909121138,1.324537238451681,1.3821996400166277,1.1716200723066437,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
25,0.3998525142669678,54.572038795047916,0.8000167537614897,0.3489503944711024,0,0.8000167537614897,0.7999574967468714,0.7999513744985194,0.7999809081101464,0.7999423496355875,1.0067217845944485,1.0210910211072248,1.324611706154816,1.3822400878621262,1.1716640720914333,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
26,0.3864285945892334,54.57097116272183,0.8000601738419632,0.3489587856281657,0,0.8000230303883507,0.7999599539814866,0.7999531453956967,0.8000489528166469,0.8000601738419632,1.0067323260798644,1.021063896300889,1.3245714499620167,1.3822235943774333,1.17162185530348,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
27,0.37681102752685547,54.57130839811899,0.8000145869767412,0.3489514244057709,0,0.8000145869767412,0.7999809468834019,0.8000104260155948,0.7999127005476178,0.7999205008128735,1.0067468169776361,1.0210383403360799,1.324532661042542,1.382265884213796,1.1716659184212062,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
28,0.37944865226745605,54.570125866574585,0.8000976743484931,0.3489704770291917,0,0.799942939225634,0.8000976743484931,0.8000899546811951,0.8000468214221189,0.8000600874441534,1.0067559953478884,1.0210261816094865,1.3245412920414044,1.3821904648045844,1.1716077018661446,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
29,0.3889801502227783,54.57183834041923,0.8000167537614897,0.3489503944711024,0,0.8000167537614897,0.7999574967468714,0.7999513744985194,0.7999809081101464,0.7999423496355875,1.0067200914249557,1.0210885116514135,1.3246157599724389,1.382230912381585,1.1716517011863665,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,5,5,5,5,5
