iter,wall_time_s,mass_kg,global_max_fi,global_mean_fi,n_mystran_fail,zone0_max_fi,zone1_max_fi,zone2_max_fi,zone3_max_fi,zone4_max_fi,zone5_max_fi,zone6_max_fi,zone7_max_fi,zone0_thickness_scale,zone1_thickness_scale,zone2_thickness_scale,zone3_thickness_scale,zone4_thickness_scale,zone5_thickness_scale,zone6_thickness_scale,zone7_thickness_scale,zone0_ply_0,zone0_ply_45,zone0_ply_-45,zone0_ply_90,zone1_ply_0,zone1_ply_45,zone1_ply_-45,zone1_ply_90,zone2_ply_0,zone2_ply_45,zone2_ply_-45,zone2_ply_90,zone3_ply_0,zone3_ply_45,zone3_ply_-45,zone3_ply_90,zone4_ply_0,zone4_ply_45,zone4_ply_-45,zone4_ply_90,zone5_ply_0,zone5_ply_45,zone5_ply_-45,zone5_ply_90,zone6_ply_0,zone6_ply_45,zone6_ply_-45,zone6_ply_90,zone7_ply_0,zone7_ply_45,zone7_ply_-45,zone7_ply_90,zone0_total_plies,zone1_total_plies,zone2_total_plies,zone3_total_plies,zone4_total_plies,zone5_total_plies,zone6_total_plies,zone7_total_plies
0,1.8457133769989014,16.627424794905348,0.8536963399763824,0.15121433483992194,0,0.4573263994588827,0.3155162255641929,0.20989036377681658,0.1777237503350539,0.2800147126613085,0.38932256091971074,0.3950235158263294,0.8536963399763824,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
1,1.5109775066375732,11.928139623781263,1.0434923408333556,0.24458184305196579,0,0.7972449306672583,0.5969382074266494,0.3903468900847068,0.3688583328085951,0.5832231142665963,0.766264373670606,0.7817147212751714,1.0434923408333556,0.7858289996618018,0.6971976409776206,0.6311814773605103,0.6110773439594086,0.6750091954133178,0.7433266005748191,0.7468896973914558,1.033560212485239,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
2,1.50285005569458,10.823604719691597,0.848517781708937,0.2704811036013961,0,0.8081117065441107,0.7154033382692574,0.5572158408932013,0.5943640271216195,0.7751946561239216,0.8474212845989814,0.848517781708937,0.7195006641138721,0.7844758663007096,0.6087137642558538,0.46957806790947143,0.44641427842343673,0.5835552008988744,0.7276537328012623,0.7383540184580147,1.1908502096916458,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
3,1.458326816558838,10.421076089664963,0.8059126987070978,0.262598438419198,0,0.6638376080699853,0.6449492354280209,0.6885502210892974,0.575192462567691,0.7068932190878194,0.7765685598505961,0.7891588273887705,0.8059126987070978,0.7884530150621898,0.5765292940023541,0.39832424518922377,0.38904000689193446,0.5745081462557677,0.7492201545216871,0.7607435803901786,1.1309360528041248,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
4,1.429152250289917,9.766985317745743,0.7877980380952655,0.2718124928037178,0,0.7877980380952655,0.7715808477601261,0.6787355540967289,0.7527954884664025,0.7755206439392682,0.7657500424052135,0.7641783427112441,0.7801584404122324,0.7213544847776275,0.5206597266065989,0.37057852702602906,0.33437805319691927,0.541076518689706,0.7382480875158108,0.7555889850977445,1.1351153553898903,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
5,1.5228869915008545,9.552645012236114,0.8259417417261558,0.2771232937772713,0,0.8259417417261558,0.8193963007314884,0.7078600812905969,0.7994112965732729,0.7910561364095748,0.7837209618118539,0.7823106197805731,0.8094388149844784,0.7158532723132112,0.5114117840843463,0.34249227718636543,0.3245129577789719,0.5327982657165143,0.7224449839584054,0.7386724540506631,1.121038818538041,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
6,1.4046015739440918,9.535396447928944,0.8190745853548383,0.28112513687264207,0,0.8181118788983566,0.8190745853548383,0.7660034834771428,0.8051308273936881,0.8041180414032085,0.7999260563161736,0.8003308359045469,0.8005607483938739,0.7274598227533192,0.5176114695604257,0.32276902057477164,0.32439355659755825,0.5298199688353996,0.715094540531722,0.7305057928648385,1.1276521172871652,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
7,1.4775311946868896,9.567491323552233,0.8102046165923849,0.28096732392943147,0,0.8082735878340259,0.8102046165923849,0.7909417533703458,0.8004567600717831,0.8010925565471286,0.7997539957970442,0.7999905316701493,0.7998448672328954,0.7356946128865242,0.5237822346584093,0.3159108816116237,0.32543381118913745,0.5311836066903438,0.7150614925788401,0.7306568413303131,1.128047322983176,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
8,1.4379291534423828,9.58536413941384,0.8050997098785917,0.28070457432322465,0,0.8034624478376459,0.8050997098785917,0.7979842524109438,0.7986155555255087,0.7996601935687362,0.79934282779297,0.7995389027136564,0.7998579032937795,0.7394988841357344,0.5271228577100291,0.3141223824374802,0.3255267144209871,0.5315463242698544,0.7149515499959987,0.7306525175178247,1.1279379497940263,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
9,1.465092658996582,9.592650118905938,0.8027820735677158,0.28061992850430173,0,0.80168859648973,0.8027820735677158,0.7998460061102463,0.7985621069657228,0.7995162883645516,0.7994908320167395,0.7996333467032727,0.7999635981227897,0.7410991818309327,0.5288029662379636,0.31372663779056337,0.3252450433828124,0.5314334349826659,0.7146578960659797,0.7304419538346449,1.1278377771268469,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
